"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-location","fr-lm-location","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Location","Lieu","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-location.identifier","fr-lm-location.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiant du lieu","Identifiant du lieu","","","","","","","","","",,,,,"",,,,"fr-lm-location.identifier",0,*,"",""
"fr-lm-location.name","fr-lm-location.name","","","",0,1,"","","","string {[]} {[]}
","Nom du lieu","Nom du lieu","","","","","","","","","",,,,,"",,,,"fr-lm-location.name",0,1,"",""
"fr-lm-location.description","fr-lm-location.description","","","",0,1,"","","","string {[]} {[]}
","Informations complémentaires sur le lieu permettant de mieux l'identifier, au-delà de son nom.","Informations complémentaires sur le lieu permettant de mieux l'identifier, au-delà de son nom.","","","","","","","","","",,,,,"",,,,"fr-lm-location.description",0,1,"",""
"fr-lm-location.type","fr-lm-location.type","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Type de fonction exercée sur le lieu","Type de fonction exercée sur le lieu","","","","","","","","","",,"","(preferred): https://terminology.hl7.org/ValueSet-v3-ServiceDeliveryLocationRoleType.html","","",,,,"fr-lm-location.type",0,*,"",""
"fr-lm-location.address","fr-lm-location.address","","","",0,1,"","","","Address {[]} {[]}
","Adresse du lieu","Adresse du lieu","","","","","","","","","",,,,,"",,,,"fr-lm-location.address",0,1,"",""
"fr-lm-location.managingOrganisation","fr-lm-location.managingOrganisation","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-organisation {[]} {[]}
","Organisation responsable du lieu","Organisation responsable du lieu","","","","","","","","","",,,,,"",,,,"fr-lm-location.managingOrganisation",0,1,"",""
"fr-lm-location.partOf","fr-lm-location.partOf","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-location {[]} {[]}
","Lieu dont celui-ci fait physiquement partie","Lieu dont celui-ci fait physiquement partie","","","","","","","","","",,,,,"",,,,"fr-lm-location.partOf",0,1,"",""
