"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-severity-adverse-event","fr-lm-severity-adverse-event","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Severity Adverse Event","Entrée Gravité effet indésirable","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-severity-adverse-event.code","fr-lm-severity-adverse-event.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-severity-adverse-event.code",1,1,"",""
"fr-lm-severity-adverse-event.niveauGravite","fr-lm-severity-adverse-event.niveauGravite","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Niveau de gravité","Niveau de gravité","","","","","","","","","",,,,,"",,,,"fr-lm-severity-adverse-event.niveauGravite",1,1,"",""
