"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-validateur","fr-lm-validateur","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Validateur","Professionnel attestant la validité des informations portées dans le document sans pour autant en prendre la responsabilité. N'est pas utilisé dans un document d'expression personnelle du patient/usager et un document produit par un système.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-validateur.dateHeureAttestationValidite","fr-lm-validateur.dateHeureAttestationValidite","","","",1,1,"","","","dateTime {[]} {[]}
","Date/Heure de l'attestation de validité.","Date/Heure de l'attestation de validité.","","","","","","","","","",,,,,"",,,,"fr-lm-validateur.dateHeureAttestationValidite",1,1,"",""
"fr-lm-validateur.validateur[x]","fr-lm-validateur.validateur[x]","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-device {[]} {[]}","Professionnel attestant la validité.","Professionnel attestant la validité.","","","","","","","","","",,,,,"",,,,"fr-lm-validateur.validateur[x]",1,1,"",""
