"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-allergy-intolerance","fr-lm-allergy-intolerance","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Allergy Intolerance","Entrée Allergie ou Hypersensibilité","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-allergy-intolerance.header","fr-lm-allergy-intolerance.header","","","",1,1,"","","","Base {[]} {[]}
","Métadonnées de base","Métadonnées de base","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header",1,1,"",""
"fr-lm-allergy-intolerance.header.subject","fr-lm-allergy-intolerance.header.subject","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-patient {[]} {[]}
","Patient / Usager","Patient / Usager","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.subject",1,1,"",""
"fr-lm-allergy-intolerance.header.identifier","fr-lm-allergy-intolerance.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiant de l’entrée","Identifiant de l’entrée","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.identifier",0,*,"",""
"fr-lm-allergy-intolerance.header.author[x]","fr-lm-allergy-intolerance.header.author[x]","","","",0,*,"","","","Base {[]} {[]}
","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.author[x]",0,*,"",""
"fr-lm-allergy-intolerance.header.author[x].authorProfessional","fr-lm-allergy-intolerance.header.author[x].authorProfessional","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
","L'auteur est un professionnel de santé","L'auteur est un professionnel de santé","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.author[x].authorProfessional",0,*,"",""
"fr-lm-allergy-intolerance.header.author[x].authorOrganisation","fr-lm-allergy-intolerance.header.author[x].authorOrganisation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-organisation {[]} {[]}
","L'auteur est une organisation","L'auteur est une organisation","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.author[x].authorOrganisation",0,*,"",""
"fr-lm-allergy-intolerance.header.author[x].authorDevice","fr-lm-allergy-intolerance.header.author[x].authorDevice","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-device {[]} {[]}
","L'auteur est un système","L'auteur est un système","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.author[x].authorDevice",0,*,"",""
"fr-lm-allergy-intolerance.header.performer[x]","fr-lm-allergy-intolerance.header.performer[x]","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-organisation {[]} {[]}","Exécutant (performer)","Exécutant (performer)","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.performer[x]",0,*,"",""
"fr-lm-allergy-intolerance.header.participant[x]","fr-lm-allergy-intolerance.header.participant[x]","","","",0,*,"","","","Base {[]} {[]}
","Participant","Participant","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.participant[x]",0,*,"",""
"fr-lm-allergy-intolerance.header.participant[x].participantProfessional","fr-lm-allergy-intolerance.header.participant[x].participantProfessional","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
","Le participant est un professionnel de santé","Le participant est un professionnel de santé","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.participant[x].participantProfessional",0,*,"",""
"fr-lm-allergy-intolerance.header.participant[x].participantOrganisation","fr-lm-allergy-intolerance.header.participant[x].participantOrganisation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-organisation {[]} {[]}
","Le participant est une organisation","Le participant est une organisation","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.participant[x].participantOrganisation",0,*,"",""
"fr-lm-allergy-intolerance.header.participant[x].participantDevice","fr-lm-allergy-intolerance.header.participant[x].participantDevice","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-device {[]} {[]}
","Le participant est un système","Le participant est un système","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.participant[x].participantDevice",0,*,"",""
"fr-lm-allergy-intolerance.header.informant","fr-lm-allergy-intolerance.header.informant","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-informant {[]} {[]}
","Informateur","Informateur","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.informant",0,*,"",""
"fr-lm-allergy-intolerance.header.date","fr-lm-allergy-intolerance.header.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date/Heure de création par l'auteur","Date/Heure de création par l'auteur","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.date",0,1,"",""
"fr-lm-allergy-intolerance.header.status","fr-lm-allergy-intolerance.header.status","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Statut clinique de l'allergie","Statut","","","","","","","","","",,"","jdv-hl7-allergyintolerance-clinical-cisis (2.16.840.1.113883.4.642.3.1372)","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-allergyintolerance-clinical-cisis","",,,,"fr-lm-entry.header.status",0,1,"",""
"fr-lm-allergy-intolerance.header.source","fr-lm-allergy-intolerance.header.source","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Source","Source","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.source",0,1,"",""
"fr-lm-allergy-intolerance.header.language","fr-lm-allergy-intolerance.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","'fr-FR' pour français métropolitain (la casse des caractères doit être respectée)
La partie en minuscules indique le code de la langue utilisée (ISO-639-1)
La partie en majuscules indique le code pays (ISO-3166)","'fr-FR' pour français métropolitain (la casse des caractères doit être respectée)
La partie en minuscules indique le code de la langue utilisée (ISO-639-1)
La partie en majuscules indique le code pays (ISO-3166)","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.language",0,1,"",""
"fr-lm-allergy-intolerance.type","fr-lm-allergy-intolerance.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Allergie / hypersensibilité non allergique / intolérance / idiosyncrasie","Allergie / hypersensibilité non allergique / intolérance / idiosyncrasie","","","","","","","","","",,""," jdv-type-event-indesirable-previsible-cisis (1.2.250.1.213.1.1.5.842)","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-type-evenement-indesirable-previsible-cisis","",,,,"fr-lm-allergy-intolerance.type",1,1,"",""
"fr-lm-allergy-intolerance.category","fr-lm-allergy-intolerance.category","","","",1,1,"","","","CodeableConcept {[]} {[]}
","food | medication | environment | biologic","food | medication | environment | biologic","","","","","","","","","",,""," jdv-hl7-allergy-intolerance-category-cisis (2.16.840.1.113883.4.642.3.133)","","",,,,"fr-lm-allergy-intolerance.category",1,1,"",""
"fr-lm-allergy-intolerance.agentOrAllergen","fr-lm-allergy-intolerance.agentOrAllergen","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Agent responsable
- Médicaments : CIP ou UCD
- Substances : SMS
- Aliments : CIM-11 Chapitre X Extensions – Allergènes ou substances non médicinales
- Agents environnementaux ou physiques : idem CIM-11 Chapitre X Extensions
- Allergènes pouvant induire une contre-indication vaccinale : jdv-allergie-vaccin-cisis","Agent responsable
- Médicaments : CIP ou UCD
- Substances : SMS
- Aliments : CIM-11 Chapitre X Extensions – Allergènes ou substances non médicinales
- Agents environnementaux ou physiques : idem CIM-11 Chapitre X Extensions
- Allergènes pouvant induire une contre-indication vaccinale : jdv-allergie-vaccin-cisis","","","","","","","","","",,,,,"",,,,"fr-lm-allergy-intolerance.agentOrAllergen",1,1,"",""
"fr-lm-allergy-intolerance.note","fr-lm-allergy-intolerance.note","","","",0,1,"","","","string {[]} {[]}
","commentaire","commentaire","","","","","","","","","",,,,,"",,,,"fr-lm-allergy-intolerance.note",0,1,"",""
"fr-lm-allergy-intolerance.criticality","fr-lm-allergy-intolerance.criticality","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Criticité","Criticité","","","","","","","","","",,"","jdv-hl7-allergy-intolerance-criticality-cisis (2.16.840.1.113883.4.642.3.129","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-allergy-intolerance-criticality-cisis","",,,,"fr-lm-allergy-intolerance.criticality",0,1,"",""
"fr-lm-allergy-intolerance.certainty","fr-lm-allergy-intolerance.certainty","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Certitude","Certitude","","","","","","","","","",,"","jdv-hl7-condition-ver-status-cisis (2.16.840.1.113883.4.642.3.166)","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-condition-ver-status-cisis","",,,,"fr-lm-allergy-intolerance.certainty",0,1,"",""
