"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-laboratoire-executant","fr-lm-laboratoire-executant","","","",0,*,"","","","null {[]} {[]}
","Modèle logique métier - FR LM Laboratoire exécutant","Laboratoire exécutant","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-laboratoire-executant.dateExecution","fr-lm-laboratoire-executant.dateExecution","","","",1,1,"","","","dateTime {[]} {[]}
","Date de l’exécution","Date de l’exécution","","","","","","","","","",,,,,"",,,,"fr-lm-laboratoire-executant.dateExecution",1,1,"",""
"fr-lm-laboratoire-executant.executant[x]","fr-lm-laboratoire-executant.executant[x]","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-organisation {[]} {[]}","Directeur du laboratoire","Directeur du laboratoire","","","","","","","","","",,,,,"",,,,"fr-lm-laboratoire-executant.executant[x]",1,1,"",""
