"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-data-enterer","fr-lm-data-enterer","","","",0,1,"","","","null {[]} {[]}
","Logical model - FR LM Data Enterer","Opérateur de saisie de la totalité ou d'une partie du contenu du document.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-data-enterer.date","fr-lm-data-enterer.date","","","",1,1,"","","","dateTime {[]} {[]}
","Date de la saisie.","Date de la saisie.","","","","","","","","","",,,,,"",,,,"fr-lm-data-enterer.date",1,1,"",""
"fr-lm-data-enterer.dataEnterer[x]","fr-lm-data-enterer.dataEnterer[x]","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-patient {[]} {[]}","Opérateur de saisie","Opérateur de saisie","","","","","","","","","",,,,,"",,,,"fr-lm-data-enterer.dataEnterer[x]",1,1,"",""
