"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-evolution-adverse-event","fr-lm-evolution-adverse-event","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Evolution Adverse Event","Entrée Evolution effet indesirable","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-evolution-adverse-event.code","fr-lm-evolution-adverse-event.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-evolution-adverse-event.code",1,1,"",""
"fr-lm-evolution-adverse-event.evolution","fr-lm-evolution-adverse-event.evolution","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Evolution","Evolution","","","","","","","","","",,,,,"",,,,"fr-lm-evolution-adverse-event.evolution",1,1,"",""
