"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-attester","fr-lm-attester","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Attester","Professionnel attestant la validité des informations portées dans le document sans pour autant en prendre la responsabilité. N'est pas utilisé dans un document d'expression personnelle du patient/usager et un document produit par un système.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-attester.dateTime","fr-lm-attester.dateTime","","","",1,1,"","","","dateTime {[]} {[]}
","Date/Heure de l'attestation de validité.","Date/Heure de l'attestation de validité.","","","","","","","","","",,,,,"",,,,"fr-lm-attester.dateTime",1,1,"",""
"fr-lm-attester.attester[x]","fr-lm-attester.attester[x]","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-device {[]} {[]}","Professionnel attestant la validité.","Professionnel attestant la validité.","","","","","","","","","",,,,,"",,,,"fr-lm-attester.attester[x]",1,1,"",""
