"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-sujet-non-humain","fr-lm-sujet-non-humain","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Sujet non humain","Sujet non humain","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-sujet-non-humain.sujet","fr-lm-sujet-non-humain.sujet","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Sujet (ex. poulet, poisson, œuf, salade, eau, terre, air, peinture, etc.)","Sujet (ex. poulet, poisson, œuf, salade, eau, terre, air, peinture, etc.)","","","","","","","","","",,,,,"",,,,"fr-lm-sujet-non-humain.sujet",1,1,"",""
"fr-lm-sujet-non-humain.adresse","fr-lm-sujet-non-humain.adresse","","","",1,1,"","","","Address {[]} {[]}
","Lieu de provenance du sujet non humain","Lieu de provenance du sujet non humain","","","","","","","","","",,,,,"",,,,"fr-lm-sujet-non-humain.adresse",1,1,"",""
